,text
218,Owner of Wipro Is from my Village 🤩 amalner
219,Can I do computer science engineering with pcb
220,Awesome laga eay video.....
221,@harsh Kumar jis kaam karne me maza aaye aur hamra man lagan us kaam ko karne me lage to samjh jana chahiye ki ye mera intrest hain
222,@harsh Kumar shi bola bhai...
223,Lekin yrr intreast kese pta kre 😥
224,always choose the course that based on your interest
225,10 th ke baad kar sakte hai kya
226,I have completed my 12th but I don&#39;t have much knowledge about computer  what problems have I faced?
227,Thank u for making this video
228,Bhai mai v kal admission lana wala hu but confuse hu mechanical lu ya fir cs please rpeky bhai🎂🎂👌🎊🎊🎊😔😔😔🎊🎊🎊😔🎊🎊🎊🙏🙏🙏🙏
229,Finally aaj admission lekar AA gaii cse m👍🤘
230,Mujhe to bca karna hai
231,Sir mera 12th ma 53% marks hai kya main  computer science engineering kar sakta hun
232,Hi
233,CSE mai kya apna basic clear hona chaheyai matlab agar apnay nai 11 and 12 may CS as optional subject nahe leya tho chalayga kya
234,Computer Technology or Computer Science Engineering me kya difference hai ❔
235,Bilkul thik hai ye
236,Bahut hi achha laga video
237,What is ug and pg?
238,Easy h kya 😂
239,CSE mei bhi aage branch chose krni pdti h kya
240,Vry informative
241,In 2027-28 can we get scope in software engineering
242,Mechatronics pay video banao mam pls
243,Kya Hindi midum ka ladka ye sab kar sakta hai <br><br>Sab bolte hai ki cs me sab kuchh English me aata hai sayad aap me se koi ye kar raha ho so pls suggest your discussion im a confiusd 🙂
244,Computer engineering ka video
245,Computer science engineer mobile par kaise padhe
246,Bio wala le sakte ki nahi
247,Very very sweet
248,Kya Cs better hai
249,"<a href=""https://www.youtube.com/watch?v=uz_OJpyiJmc&amp;t=1m20s"">1:20</a>"
250,Polytechnic ke course ke sabhi trade ke upar video banao mam aap bahut achha baate hain .. please
251,Myself Narpat Prajapat from CSE by MBM UNIVERSITY JODHPUR
252,"Computer science. Engineering me sabse pehle kya karna video bana ke bata dena,,,😇😆"
253,Data science
254,"Excuse me , which one has more scope in future datascience or machine learning ( includes salary ,job...)"
255,Nice video mam i need some more videos like this video 🙏🙏 becz I am a CSE student in Chandigarh University
256,Hardware ya software  ??? Kya aacha hai
257,Yes
258,Cet. Se de saktee haiin kya
259,Bcs vs cse
260,"What is best in CSE, IT, AI"
261,Kya cse bina math ke kr sakte hai
262,Can we do this all by bsc computer science course in clg ..... which we do by btech nd bca  ...pls batado koi
263,CSE is a very nice engineering 👍👍
264,Best college LNMIIT h <br>Thapar is the worst college...
265,@Dibbendu Dey nahi bro paisa lagta hai o bhi 5 lakh 8 lakh 4 year ka or sc st me ho toh free ka waise konse class me ho app
266,@iit aspirant 2024 jee dene par kya mujhe institute mai free admission milega?
267,@Dibbendu Dey polytechnic se utna tak nahi ja paoge
268,@Dibbendu Dey jee
269,"If you are interested in B-tech at CSE, you can apply to the Thapar Institute of Engineering. They have experienced and knowledgeable teachers who teach various concepts of computer science. Thapar believes in providing the latest technology to our students during lab meetings. It helps them be confident and ready for the industry. Many colleges require a good location, but few offer it. On the list of colleges for placement I recommend you consider Thapar Institute of Engineering."
270,Great job
271,CSE ke liye taiyaari kbb se start krni chahiye.... ?
272,"B.E degree is from govt. College and <a href=""http://b.tech/"">B.tech</a> is from private College"
273,Hello mam please help me <br>    Diffrence between be(cse) and b.tech(cse) which is better?
274,Mam mujhe maths me interest nahi hai leki computer me hai so what should I take
275,"<a href=""https://www.youtube.com/watch?v=uz_OJpyiJmc&amp;t=4m20s"">4:20</a> i can&#39;t understand this line"
276,Sir isme laast salary kitni hoti h per month
277,Diploma in computer science and technology khasa hai
278,v good mam
279,I am B.teck  For CSE  IIT Bombay 🧡
280,👍
281,Mera 12th math me 50 number hi hai ho sakta hai
282,Ha
283,Please tale me some name of best colleges to do diploma in computer....🙏
284,"Kya <a href=""http://b.tech/"">b.tech</a> ko hi CSE bolte h"
285,🤙👌👌👌👌👌👌👌👌👌👌
286,@Anjay World diploma in computer science engineering kiya h na tmne??
287,@Suhail Singer  🎸 Hnn Final Year Hai
288,@Anjay World admission lelia kya tmne
289,@Suhail Singer  🎸 Hnn Bolo
290,@Anjay World bro kch pchna h tmse
291,I am the student of Computer 🖥️ science 🧪 and engineering...
292,E course karne ne ke bad Ghar se kam kar sakte hai?
293,Very nice 👍 this video 📸 ....…. thank you for sharing this video
294,Mam please make video on difference between B Tech and BE COURSE
295,Computer science  carrier keliye entrance exam jaruri hai kya after 12th
296,Isme kitna kharcha in both private and government .........?
297,Agar sare students CSE hi karenge to bike cars kon banayega
298,CSE complite hona ke bad khud ka business start kyse kare.
299,There is no salary in lakhs ?
300,Thanks
301,Computer science engineering ke baad bsc kr skte hai
302,I love this video
303,Kya hum diploma me se kr sakte hai CSE ?
304,Polytechnic main hindi hoti hai
305,I ♥️ CSE.
306,Cse fresher ko job kha milega after diploma
307,@Mohammed Suhan Tysm ❤️
308,Yes you can.. Most of the students from pcmb take computer engineering
309,Can a PCB student Take Addmission in cse field?
310,Main abhi class 11 mein hu.... computer ka basic course nhi kiya hain abhi tak...mein cse le sakti hu kya?
311,😈😈😈 IC engineering ke bare me kuch information do plzzz 👍🏻 🙄😅
312,Is it brighter scope in CSE (Diploma )?
313,Bhai dono same he hai
314,Software engineer or computer science engineer which is better
315,"Mam  ,are  you  Rubi  parikh?"
316,केस स्टडी वीडियो पोस्ट करें
317,Diploma se engeneering bhi kare sakte ho
318,Kare sakte ho
319,Mam kya 10th baad diploma nhi kar skte
320,Is sa acha video to ma bana lunga😀😜😴
321,Miss app kya kam karta ho
322,Digital Rise Health And Wellness couse ke upar video layo please mem
323,please make a separate video on UX design field (degree)
324,Me is course ko kr Raha hu thanku for the great information about cse. But my communication skills in English is very low how to improve my  communication please suggest
325,"Mera bhi <a href=""http://b.tech/"">b.tech</a> me CSE krne ka plan plan hai"
326,insha&#39;Allah will be helpful
327,"Free me <a href=""http://b.tech/"">B.tech</a> kaise kre plzzzz bataiye"
328,How to improve problem solving skills?
329,CSE (Artificial intelligence) is better
330,माँ शारदे नमस्तूभ्यमः |<br>काशमीर्येः च पुष्पाशिनीः |<br>तुवम् शर्णम् नित्यम् |<br>विघा दान चा देहीमे ||<br>🌹 जय माँ सरस्वती🌹
331,Computer science and engineering business opportunities me video banaye
332,Meri typing speed kam hai kya isse koi frk padta hai ?
333,Maim your video is very good and useful so I said to you very very much thankyou
334,Computer engineering and computer science what different
335,What is harwadware
336,What is windows 10
337,What is windows 7
338,Helpful
339,Diploma computer science after इंजिनीरिंग
340,GIGLER RUBI PARIKH 👍👍👍😇😇😇😇
341,After BCA Can I Go IT Companies
342,Nhi h bava job ni milti jaldi se isme yrr or to or Madhya Pradesh me to kuch bi nhi h
343,mai cse jobs ke salary se bikul sehmat hu
344,"Very good information<br>Mera beta bhi CSE men admission<br>Ke liye ek College men seat booking<br>Kiya thha magar unfortunately <br>Iss college ne choice fillings counseling<br>Men uska nam block kar dia <br>Or lastly uss college men students<br>Nna ho ne par mere bete ka dushre<br>Collage se koi information nehin Aya<br>Uska 60 percent se yada marks hey<br>Ple agar aap ka pas admission ke<br>Liye koi college ka information<br>Hey to ple mujhe inform kare<br>Ho sakhe to specially <a href=""http://www.youtube.com/results?search_query=%23odisha"">#Odisha</a> <br>Ke andar."
345,"<a href=""https://youtu.be/0REXhZ9rjdI"">https://youtu.be/0REXhZ9rjdI</a>"
346,Dream ❤️❤️❤️
347,IIT Bombay CSE OP 🔥
348,CA ke bareme issi informative video banao na colleges ya best university bhi suggest karna
349,I wan to be a hacker  now I&#39;m doing mca what I do for .
350,Please mam reply me 🙏🙏
351,Try gate exam for m tech in iits😊
352,Computer science and technology complete honi ki baata mi kya Krna hota hai 🙏🙏 plz reply konsi konsi exam tini hogi....
353,Plz make a video on E&amp;TC(electronic&amp;telecommunication)
354,10 th ke baad diploma computer engineering kaise kare &amp; campany ka boose banana hai
355,@Maidangarhi 9 Bhattimines  to main kya kar sakta hu
356,Nhi
357,Kya main computer science engineering kar sakta hu main PCB wala hu
358,Kya biology vale students kar sakte hai kiya
359,@Aryan Raiyani ok bro thanks
360,"Delhi ka to pata nhi coz, I m from Gujarat but.. Koi accha placement ya fir aesa koi jisme cse k saath business mind bhi devloped ho usme le skte ho..."
361,@Aryan Raiyani Or bhai kon sa college shi hai delhi m pata hai kya kuch btech ke liye
362,Computer Science Is Better.!!!
363,Mam computer science ya  hotel management  m konsa course shi hai please batado
364,Informative.
365,Mera final year hai cse me
366,Lgta h aap NIT HAMIRPUR KO BHUL GAYE H
367,I like CSE 💝💝
368,Thanks
369,Ye tabhi kam ki h jab aap bade bade colleges se h jese iit nit se barna aapko koi job nahi milne wali
370,Madam mera 12 th me biology hai to me kya computer science engineering kar Sakata hu kya
371,4Year after scope cse or A. I
372,Of course CSE
373,Which is best CSD OR CSE??
374,"Make a video on <a href=""http://b.tech/"">b.tech</a> mechanical engineering scope <a href=""http://www.youtube.com/results?search_query=%23quichsupport"">#Quichsupport</a>"
375,"WHAT if we  have  physics, chemistry, math ?  then also we  have chance to take !"
376,Which is best computer Engineering or computer science
377,Very nice information
378,Via cse can we get govt job?...plzz reply...
379,"<a href=""https://youtube.com/channel/UCViDQYpXAVMI_9cHtH0QDtw"">https://youtube.com/channel/UCViDQYpXAVMI_9cHtH0QDtw</a>"
380,"Maam , please make video in English language"
381,thank uh mam.❣️❣️
382,Cse or mca which is best ?
383,Good
384,Mam civil ka scope ka video plzz
385,Abhi 10th paas hua hai kya
386,😂😂😂
387,"Sir <br>If i convert my petrol bike into an electric, then what documentation i need or if i want to open an electric bike company,then."
388,Mam Please Reply Me<br>&gt;Mam What If Do Computer Science After Diploma Is There Any Scope Of It In India
389,Other students also watching this video 🤣🤣🤣🤣
390,Stenographer ka upar v ek Video karo na
391,@Srishti Lakhina thankyou
392,difference of e
393,Cs and cse me difference please tell me 🙏🏻🙏🏻
394,Scope of Mechanical Engineer hota hai kya
395,BAMS scope ke bare me ek video bnaiye na 😊
396,Some days ago I admitted computer science enginering. I hope onday I will be Success 😎💖
397,Artificial intelligence pr video bnao 👍❤️
398,Placement nahi mila ?? Jo ye karoge
399,"After doing Diploma in Electronics &amp; Communications Engineering, Can I do B Tech in Computer Science Eng.  Is there any issue in changing branch?"
400,Ple reply
401,"Di mera 12th me 50,% h kya mujhe btech goverment college se kr sakti hu"
402,which IIT/NIT/IIIT
403,Ye i Got Cse with artificial intelligence in reap Counselling 😍
404,Bca and  mca karke jab mil sakta h kya
405,@Dhruv Varia oh nice
406,@JEETBest decision of mine.
407,@Dhruv Varia how going on now ?
408,@Manish Pubg vadodara
409,Where r u from?
410,"2 days ago i got admission in btech cse 2nd year, i done diploma in mechanical. i changed my field"
411,Kya polytechnic se CSE krne se job mil sakta h .<br>Although ye junior engineer h <br>Please reply
412,Cs me
413,Hm soch raha h diploma course krne ko
414,Sir diploma ka new tred syber Forience information security ka ak video do please please please🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏
415,Mam ye commerce se  nahi hoga kya...?
416,Very truth information 👌👍💐
417,Nhi bilkul nhi
418,Mam pcb wale nhi kr skte h kya ye
419,Diploma in c.s ka scope he ?
420,CSE is best course but needs hardwork
421,"<a href=""http://b.sc/"">B.SC</a> IT Ke bare m bhe btaoo"
422,Mam M.A. to 10th ke bad kr ra hun pat me cse
423,is nit srinagar is good college for cse branch  plzzz reply
424,"best <a href=""http://b.tech/"">b.tech</a> ya bca college noida"
425,Gooo
426,MCA karnye ke badd  job nhi hy kya
427,"mam MCA Ka bad <a href=""http://b.tech/"">b.tech</a> in computer science Engineering kar shakta hain"
428,Mam make a next video on scope of  mechanical engineering
429,Very helpfull
430,C̊o̊m̊p̊ůt̊e̊r̊ e̊n̊g̊i̊n̊e̊e̊r̊i̊n̊g̊ k̊o̊n̊ k̊o̊n̊ k̊år̊n̊ c̊h̊åt̊ h̊åi̊ ẘå 👍
431,Thanks for helping 😇😇😇
432,Kya ham ITI karne me bad yah cse kar sakte he kya??
433,fake news thi vo go for cse otherwise earn 8k to 10k in other branch
434,@Taba Kinam true bro😅😅
435,Hmm... I think u came after seeing Aman Dhattarwal video
436,Will go on means?
437,"But 3 million jobs in software engineering will go on in 2022 then how will we deal with it, make a video on it.🙏🙏"
438,Ha
439,Kya graduation bsc math se complete karne ka bad ye course kar skte h?
440,commerse student  wale computer science kr skte h kya
441,IT AUR CSE ME KYA DIFFERENCE HAI CAM ANY ONE TELL ME ❤️
442,@Mr Alex IT se diploma
443,@Ggpl priti kis branch se aur es samy kya kr rhe ho
444,@Mr Alex 10 th se
445,Aapne 10th se kiya tha ya 12th class se
446,@MBG RAJPUT VLOG ggpl( government girls&#39;polytechnic Lucknow)
447,IT or cse me kya difference hai mammm
448,CST or CSE same ha toh?
449,Mam please 1k vedio bca pe banao
450,Mam what about students those are selected through eamcet in cse
451,Mam ek cse filed me ecommerce specialist and detabase analytics par ek video banaye.please mam.
452,Top 5 jobs in the future par video bane
453,Mam please make a video on Nimcet exam and benefits of doing MCA.......❤️❤️  Form Haryana..
454,Cs and cse between difference
455,Mam alag subject hoga nahi
456,Computer science engineering  karna ka liya class 12 me con subject  lena hoga place bata do mam
457,Computer Science
458,Computer science or mechanical which one is good
459,@Deepak Das 😂 i m also pursuing cse from IIT mandi
460,2 sal mei vasul
461,@Geremsha_ml_player only toppeszz go for that I think
462,Can go upto 1 crore after btech in IIT&#39;s
463,No cs ke salery hi sabse jada hai maybe u have no knowledge
464,😂 spending 10 lac for study and salary 40k per month
465,Please eak be cma(cost and management accountant)ki barama be vedio banao na
466,Amazing video
467,Mam PLZZ make a video on robotics engineering 🙏
468,Scope in artificial intelligence engineering please
469,Scope in artificial intelligence engineering please
470,Materlerogy science engineering par ek video bnahiye
471,How to check windows 11 is compatible with PC/Laptop ? <br>@
472,Mam hum cse 2th year ke student hai complete karne ke baad kya kya kar sakte hai please reply
473,Plz also make a video on extc branch also
474,@S235 K.Sathvik rao ager pcb student ko math aati hai to bhi nahi ban sakta kya?
475,No
476,can a pcb student do CSE?
477,Mem me B. Tech 3rd year me hu or me corona kal ki bajah se study km kr pai h mujhe job ke liye kya Krna chahiye bese me abhi python online python study kr rha hu
478,Give jee advanced
479,Kindly Reply.....😅<br>Plzz .....😅
480,Nahi
481,Midel job
482,ha bhai milegi
483,Mht -cet dene se computer science engineering me addmission milegi to high salary hogi kya.🤔🤔plz reply 🙏🏻❤️
484,"I m pursuing bsc Hons computer science in <a href=""http://du.is/"">du.is</a> it good .?bsc Hons computer science vs cse"
485,Konkon meri trah software Engineer banna chahta hai 🤤
486,CSE
487,Electronic and communication engineering vs computer science engineering me robotics and article intelligence me kaun sa jada achha course hai
488,I think app ne bhi engineering kiya hai
489,Please make the video of ethical Hacker
490,Thanks for all your support to get us informated 👍👍
491,I Love CSE❤️
492,"Very helpful 🙂<a href=""http://www.youtube.com/results?search_query=%23codinghub"">#codinghub</a>"
493,Hi me polytechnic in computer kar raha hu kya ye best hoga
494,"Mam ji <br>Computer course ITI  COPA, CCC ,ADCA, kar chuka hu OR computer course Direct (college , Institute na join karna pade )  course koin sa kare please mam ji help me🙏🙏"
495,Mam mera 60percent se thoda kam h kya me cse kr sakta hua
496,NIT ROURKELA IS ALSO EXCELLENT IN CSE
497,A video for PGDCA 🙏 please 🥺
498,Civil engineering par video banavo
499,Master of computer application kya best option hai plz reply me🙏
500,What about diploma holders in cse?
501,Nice.
502,@IceCut 😂😂😂😂😂😂
503,So you can apply for a job of waiter <br>There is no competition in that feild right 😂😂
504,Fact : Competitors are also watching this 🤣🤣
505,Just took bifocal. As cs in. 11the std
506,Wipro me job kasa paye
507,Mam IAS pe ek video bnaeye taiyaari se lekar ias banne tak pura process please 🙏🏻🙏🏻🙏🏻🙏🏻
508,"I&#39;m in CSE 2nd Year <a href=""http://b.tech/"">B.Tech</a>"
509,Thanks for giving me this information
510,NIT rourkela toh bhul hi gaye
511,Me abi diploma computer engineering 3rd year ko hu but aage kya karna hoga<br>Muje abi.?
512,Machanical Engineering scope video plz request mam 🙏🏻
513,"<a href=""http://b.tech/"">B.tech</a> vs BCA computer science engineering"
