text,value
Sir currently i am studying in 12th PCM stream but am not that good in maths so which bachelor&#39;s degree do i prefer?,0.0
"Amazing video, good for study, learned a lot.",0.0
1.75 x thank me later,0.0
"&quot;A wise man learns from his mistakes, failures, and regrets. However, an intelligent man learns from the mistakes, failures, and regrets of others.&quot;<br><br>Thank you for sharing your experiences. I hope this will help me to remind or motivate myself that I need to work harder as a CS student.",0.0
"Do I need to be very good at math for CS undergrad? I am a really good developer. I know Python, Java, and Web development. My issue is that I am average or slightly below average in Math. Any advice?",0.0
Thank uuu sir,0.0
"My classmates are super duper non procrastinators. We all rush to get to our home or library to work on our homework as soon as possible same day they are given. We literally move near the campus and every fucking second count we even find routes that get us from school to home asap!!! And most of us did excellent after college. One non procrastinator who likes to ask questions to the teachers and classmates can influence the whole group to look at the homework for example and before you know it, all are involved in the homework!!!! So kudos to non procrastinators and the nerds, the leader in the group. The catalyst for success!! Study well and take studies seriously. Think of your studies like real work. Not a playground to play and be imaginative, do that On your free time with your friends and classmates. Because education is that precious and once you miss the chance life has passed you by. And by life I mean opportunities that you will never even get to know if you just be like the rest of the average crowd. No scholarships, no travel and intercultural experiences, basically nothing just using the internet for information and knowledge but not really living the experience. Your credibility to speak about certain things are just that-words. And words don’t necessarily mean you are great at what your claim. There  are a gazillion students and professionals who do things better than you. Like my teacher said, don’t be fooled by stream media whatever that means…. Be original in your thoughts, in your calculations and support those scientists who have gone before you and laid the foundations of science. Anyway great video. Makes you learn to discern what makes a YouTube video excellent and worth your viewing time.",0.0
Not trying to be be mean as all but I like to speed up by 1.75x to save alot of time<br>It was good video,0.0
"aw man, this is beautiful, the way he explain, that&#39;s so much effort! thanks for sharing",0.0
"<a href=""https://www.youtube.com/watch?v=-uleG_Vecis&amp;t=12m10s"">12:10</a> nice IP address there 👍",0.0
Thank you so much sir for making a video on this topic... Most awaited topic indeed!!,0.0
preach brother. I had the same high school mentality which leads to my only regret. <br>My only regret was thinking how smart I was in High-School just because my mother wouldn&#39;t have to tell me to complete my hw because I was a nerd like that. And I would think just cause I was in advanced classes and would get my hw done on time w/o anyone telling me to and passing classes I thought I was smart enough and knew it all lol.  <br>But once I got into college to seek a CS degree I quickly realized how lost I was at math and the rest of the sciences. Thanks for sharing. <br>Wise person once told me &quot;Giving up is not an option.&quot;,0.0
"Thanks for this.<br>I&#39;m currently in my second year of online CS, previously did a two year degree in Networking and it&#39;s Soo overwhelming sometimes.<br><br>The part about procrastinating hit me hard, usually do my assignments in the last week before I have to turn them in and even thought I end up passing, i feel like I learned nothing.<br><br>And the imposer syndrome is always a constant.<br><br>This motives me to start prioritizing my goal and tasks to try and optimize .y learning and become a better engineer",0.0
"@lena lara hey Lena, that’s a great question! Before I started college I also didn’t have any knowledge or experience about CS or SE. Remember, in college you can always change your major. What I would recommend is choosing a school that has a large CS college so you have options of taking some programming classes for other majors. For instance, my school RIT has the college of computing and information sciences which has several majors including software engineering, CS, web and mobile, computing security, etc. For me, I was so fascinated with coding and problem solving and found out that majoring in SE provided many more courses for software architecture, practical knowledge such as “how to learn languages on the job”, and so much more. Also, many schools do not have a co-op program. RIT is one of the schools that does, and you don’t have to pay tuition while on co-op. I picked a school that has a good co-op program because the biggest difference between me and other recent graduates in my field is that I already have over a year of real experience as a software engineer. Sorry that was a long response, I’m really passionate about this.",0.0
You all are speaking about TLA+ or latex but he became of really great importance after coming out with logical time concepts where systems are dependent on causality relationship rather internal concurrent events.,0.0
Amazing. Great story very inspirational.,0.0
"to be honest he sounds a bit of a blowhard, <br>but his work was the real thing. shows how you can be great even with flaws, if you become obsessed with the right problems",0.0
I just started my first semester and I see all these amazing coders and I just can’t see myself being even close to them,0.0
Hi. Is it possible to remove the guy from the first picture of this video? I don&#39;t like to see victims of electricution. Thanks in advance.,0.0
Super video sir ❤👌🏻,0.0
"I just came across your channel, very interesting, I like your upfront and relaxed style. I&#39;m gonna check out your other stuff.  What do you think of Outsystems? I just started learning it, thanks",0.0
I need to listen to these daily. Fantastic tips for a freshman Computer Science student like myself. Thank you!!,0.0
"The joys of breezing through high school without studying much, I called it winging it. But you won’t get honors for that. Which means your parents have to pay for your college if you don’t get excellent grades, you will lose scholarship. Smart right? Not studying. Then you have to study in college. You land a great entry level job and you feel invincible earning well above the minimum but you have to make up for your deficit, the money you lost spent in your college by being lazy. And most tech companies don’t hire just average folks who don’t study since birth. <br><br>Then you start thinking I’m not fit for this job for the long haul so I’m going to be self-employed. I’m gonna be my own boss. Then suddenly making YouTube videos feels right. So off you go quit your day job and claim making  Youtube videos is a real job. The analytics is pretty laid out for you, heck you don’t even know how to program like hardcore. You just like saying you have a job. Then you realize self employment folks need to pay taxes otherwise you will be fined. Not cheap. And then you have a family, where you don’t have benefits making videos. How can you earn a million per ads and click? It’s like those bloggers who hyped blogging but in real life they don’t even help pay the bills. It’s good to just lie about what you do and hype it up. Eventually life will catch up on you. Life has passed you by.<br><br>Never ever slack on education since kindergarten. If you have drawing classes or drama/arts, do well in it. Just do it. They pay in the long run. Tom Hanks went to my local community college. He was great at theater drama etc so he became famous. It was a passion since birth not because they do not like to put in the hard work and use their chosen career as an escape to a dull life.",0.0
"Man, thank you so much for these videos.❤️💕",0.0
Thank you so much for your guidance,0.0
Thank U sir,0.0
Nice sir,0.0
"Procrastination is a masive issue for me, i just took a 3h nap to put out some homework and shit, but i just finished an internship where a created a flask template for the it guy of a company to base all their systems on, so that was nice",0.0
GoodShtBoy!,0.0
I knew I would laugh at the end. Great job!,0.0
I envy your expertise in this field of knowledge. Good job 👍,0.0
Love it. Gonna have to watch again to make notes.,0.0
I am great 🧊🤤🥖🧬🕸️🍼🍼🍾🍾🥛🥛🍉🍉👙🤱🏻🍑🍡,0.0
Good work,0.0
"<a href=""https://www.youtube.com/watch?v=-uleG_Vecis&amp;t=10m43s"">10:43</a> &quot;a class by itself doesn&#39;t actually do anything, instead it&#39;s used to instantiate objects&quot; - this needs to be revised as well. But yeah overall a great video.",0.0
love how it ends with printers,0.0
13 minutes to sum up most all the subjects in CS degree! great job!,0.0
"I have a master’s degree in CS. This is surprisingly accurate and entertaining. The part about hashes could have been fleshed out a bit more. Aside from that, great!! Also, completely true about printers.",0.0
Good video for the appropriate r/programmerhumor user,0.0
"I dont know if anyone will read this,,but ill just leave it here to see if anyone got any advice for me,, <br>so long story short, im in my 2nd year currently majoring in cs, with typical and basic reason, i got into this course knowing it will pay me well after i graduated . But im now contemplating my choice wheter this is the right choice or not cuz i kept thinking on how i will spend the rest of my life staring at screen of my laptop and will i be happy with the way it is. Will i have any social life? Can i keep up with the techno trend? I need a reason to stay here cuz i don&#39;t wanna waste all money paid for my college. The reason to keep me going. This may seem like a simple ranting to you but i just need to get this off my chest. Thanks to whoever read and stay till the end :)",0.0
"Wow this was soo good. After self teaching with codecademy, w3school and copying and pasting through a bunch of tutorials to eventually being able to write some of my own stuff with thought of writing clean code... there was still a lot of foundational information gaps. This video helped fill in those gaps. It also does a great job of making it seem less intimidating by calling a Computer dumb multiple times haha. Which helped me understand why the littlest of error can throw the whole thing off. The while communication thing from user to programing language to ide to compiler to binary to computer is helpful. All this time I was doing things like copying youtune tutorials without even Understanding that haha.<br><br><br>Oh and the Recrusion part was hell, but it finally clicked.",0.0
This is sick!!! Love this vid. Motivates me to keep learning,0.0
Thanks you very much sir 💟💟💟💟💟. I very very very interested in computer science 😀. Because sir I make master 😊 &amp; best computer science student 😀. Thanks sir for many information 💟💟💟💟💟,0.0
"That was astonishingly well written, edited and generally put together. Thank you for the work you put in, Jeff. That was a trip.",0.0
I really understand this that i even started a malfuction to my own brain that causes it to explode thanks man,0.0
Could you do JSON Schema in 100s? I’d love to document my json files but cant seem to understand it,0.0
"Which font does he use in these videos, it&#39;s just awesome, would love to instal &amp; experience!",0.0
thanks a lot for this!,0.0
Sir ip main or kya scopes honge with good salaries,0.0
Fireship well fricking done . Outstanding video man!<br>Nicely done!,0.0
Nice strategy I must say. I didn&#39;t earn as<br> Much as this video claim but I earn about 3250USD every week and I don&#39;t do that using video,0.0
"That was amazing, just finished first year comp sci and am pleasantly suprised I understand basically all of this now",0.0
"Before I found this video, the only work I could find was as a part-time banana peeler. Now, I&#39;ve learned everything I need to know to become a web developer. Thanks, Fireship!",0.0
i really appreciate you from bottom of my heart for really making such great videos. Salute to you sir,0.0
"This video is very helpful to just put things in order which I’ve found hard to do myself when trying to teach myself comsci/coding. <br><br>If anyone knows a book that does this but in more detail, I’d love to hear about it!",0.0
"The numbers are off (0x30 &gt; 0x39), maybe it would&#39;ve been better to use another ASCII table.<br>Definitely interesting videos, keep up the good work!",0.0
"your c example  at <a href=""https://www.youtube.com/watch?v=-uleG_Vecis&amp;t=3m47s"">3:47</a> is wrong.. use &quot; for strings..<br>anyway thanks a lot for your high-quality content!",0.0
Par computer lover bhai me mjak kar rha hon your knowledge definitely beat my trick because skill is better than hack or trick,0.0
Thanku so much mam very helpful 👍👍👍,0.0
"This is really great, perhaps consider other videos along this line for certain categories like machine learning or data science or game production or cyber security &amp; cryptography.",0.0
Amazing video,0.0
Awesome video. Would love a video like this for the hardware and networks/security,0.0
I feel like you could do an entire history of the world in 1 hour.  😂. Love the videos.  Your short videos are my favorite way to figure out a simple “wtf is this?”.,0.0
Simply put..... You are amazing !!!!,0.0
Ug printers....<br><br>Great video as always,0.0
"Thank god, now I can quit my cs degree.",0.0
"sir, thanks",0.0
"Nibble/Nybble actually terms for &quot;half of cluster&quot; so &quot;half of a byte&#39; = a nibble/nybble. ex: what is nibble of 64bit/QWORD? a DWORD/32bit. And so on to &quot;a nibble of a byte&quot; = hexadecimal &quot;F&quot; or 16 in Decimal. So if a super computer which had 256 bit, can it termed HWORD/&quot;HexWord&quot;? Thus, a nibble of HWORD = QWORD then~",0.0
this is such a great video. Really well thought trough structure and sequence of topics. Also Everything concise and to the point. I love it!<br>(Kinda proud of myself for knowing each of the Concepts aswell^^),0.0
@Mr Cold Shower gon that’s a great pfp,0.0
"WOOOO, FUck yeah, dude lol - nice",0.0
Great Video! It&#39;s really cool to see how different people have come with these ideas of structure that helped us create the internet. Knowing them is extremely important and It&#39;s great to have people like you sharing this content,0.0
Very good job.,0.0
wow good concepts,0.0
THANK YOU<br><br>I NEEDED THIS FOR APCS,0.0
Great review for basic concepts!,0.0
"@Fireship will you make a second part explaining all the new cloud concepts like  docker, kubernetes, databases. This will be great even after years for a quick wrap of all the googling I have done so far.",0.0
"i figured all this stuff out the hard way, i wish i found this video 6 months ago but it was still great!",0.0
"I can safely say this video has encompassed everything my 4 year degree has taught me. Great coverage over the field as a whole. If I could of shown this video to myself 4 years ago I would have known nothing, but through school I now know everything mentioned here. Great video and I love the work you do.",0.0
Thanks for the knowledge...,0.0
could you make a serie about data structures? I would love to watch this topic with your style.,0.0
This is the greatest video for CS ever! 🙌,0.0
You are an amazing creator 💥,0.0
Great video. Try if you can make a detailed video about types of algorithms,0.0
Amazing!! All those terms clicked with visuals and context.,0.0
"The thread and parallelism part is wrong, but otherwise very good explanation.",0.0
Dude.... i Love u!!!,0.0
"this video is so incredibly useful and informative, especially as a beginner software developer. thank you so much",0.0
If you love coding choose software engineering,0.0
"I&#39;ve been doing A level computer science for a year now. My exam is tomorrow, my teacher is horrendous. This video has taught me more than I&#39;ve learnt in a year 🎉 Thanks",0.0
thanks sir,0.0
Thank god you are just a student and not doing a job,0.0
Good channel from Morocco,0.0
I love the way you talk its so entertaining,0.0
"I think I am going to use this as interview questions for my startup haha, good job :)",0.0
This is great!,0.0
"This is absolutely amazing, you took 13mins to cover a degree of about 4years, had a lot of fun watching this....",0.0
Thanks for this vid really takes alot of stress off my shoulders,0.0
"I&#39;m 54. Lack a bit more than a semester for mechanical engineering degree... 30 years ago... You were definitely the teacher in this video. I&#39;m brand new to front end web development through a public/private partnership... At the moment learning HTML and CSS. Scared. Confused.. but eager to learn this. I see parallels between this and calculus in the problem solving aspect... Not that I could solve a very basic calculus problem at this time. Not happening. But I remember the thrill of working through literally five pages of computation, making sure to record each step (this was with paper and pencil... And eraser) and end the end... Getting the wrong solution.  But still happy that I actually got there, knowing my process was right just made an error or two along the way... Sounds like coding. But I digress... Your video and other videos are engaging,thoughtful and on point. Im watching &quot;how to think like a programmer&quot; videos tonight instead of &quot;how to&quot; for a break. And this has been a nice, uplifting detour.",0.0
"Nice keychron k3, the same i have.",0.0
You just taught me stuff in 13 min which took my teacher 6 months...Amazing Bro keep it up.,0.0
"bro just compressed whole year in <a href=""https://www.youtube.com/watch?v=-uleG_Vecis&amp;t=13m07s"">13:07</a> minutes i just need to watch this video over and over and im ready for my exams lol <br>i love you video keep up the good work",0.0
"great video, but even before starting computer science I learned 90% of this concepts in highschool .-.",0.0
Sir is it good to do bsc cs from bhu?,0.0
@fmstyle OMG I love this answer. I thank hou a lot and thanks for the time for answering,0.0
Lot of good advice in this video,0.0
Thankeu sir,0.0
@heisvi I see... thanks.,0.0
"Not gonna lie, I’ve been feeling that hard imposter syndrome with learning to code lately, even after finishing freeCodeCamp’s JS course and feeling a bit lost but going through this entire video I can confidently say that I understand and know how to code 80% of what you mentioned here which has helped substantially with boosting my confidence that I’m on the right path. Thank you for always making such high quality, humor filled, and easy to understand videos on these topics. I also can’t overstate how helpful it is having code, images and graphics to relay such complex concepts. You’re a legend mate! 🍻",0.0
The best explanation ever. I am studying computer science and this was unbelievable good summary of all to pick.,0.0
"I procrastinating now because it&#39;s online class and I&#39;m losing hope that I will graduate the course Computer Science but YouTube algorithm got me here, thanks for the advice.",0.0
Dude that was awesome. The way you connected all the terms...Every CS student should make a chart out of this video in my opinion. Thank you,0.0
What a great humble genius.,0.0
Thanks 😘👈 Sir 👍,0.0
@Akshat Rawat Thanks sir. But your information have reached me late.,0.0
Alagappa Chettiar karaikudi is best for civil,0.0
"Great vid, putting cs degree on my resume now",0.0
love it!!! thank you,0.0
Thank you so much for this video! This is extremely helpful!,0.0
Great!,0.0
"Last night I slept thinking are there geniuses in the world that go about laying layers of foundation, so that a revolutionary technology is built on their research? Like lives of people of a generation building upon each other but someone comes in a scoops the cherry in the end, and such brilliant and purest love for the study remains unknown. Thanks for sharing this.",0.0
I didn&#39;t have any background on computer programming before I signed up to CS so I had a pretty hard time of adjusting to my course and a lot of procrastination happened even now. This video gave me time to think about myself and my goals as a computer science student. Thank you so much!,0.0
Thank God for &quot;white privilege&quot;.,0.0
Great lord.,0.0
"Oh god now I’m super nervous to major in Computer Science because it sounds super hard, and I’m not ready to be an adult",0.0
Amazing job yeah,0.0
"2 weeks for a assignment? i think am in a wrong business in here, i gotta do 2 assignments in a week and the worst thing is that am still trying to figure out what my professor has presented 2 weeks ago.  My task was to disassemble picture in 2^x Quadtrees, using streams is kind a hard way, using arrays is more easier and i don&#39;t even know how to work with double arrays and can u imagine god damn miserable my life is now. how can i learn java in just 3 months when people take years to learn it.<br>I respect you. You came a long way, but there is not even a slightest bit of  inspiration in me to carry on, i can&#39;t even learn anything anymore because all this stress from what u mentioned about expectations of computer science and reality and being frighted to fail the class did really sucked out every motivation from me. worrying about next thing when cant even understand the last one  just piles up and there is nothing really to do because the give you very short amount of time.<br>And at the end thank u, its a great video and i can hardly relate to  your past cause am a first year student of computer science.",0.0
"Man, gonna pay for one of your courses, thank you so much<br>Greetings from Bolivia 🦙",0.0
"This is the best video about CS by far, every beginner should see this before going for CS <br>Thanks dude",0.0
"holy crap that was a powerfully useful video to watch after the multiple thousands of youtube videos iv watched to learn coding. so much so this is the first time iv had the desire to leave a comment.. ever... on and over the internet. thank you for somehow connecting every concept I&#39;ve been vague|forgetful|dismissive|confused by and making it seem like common sense. Wait, is this the click!? did it all just click now!?",0.0
"Awesome! Thank you!
 Can you create a clip about how big tech companies work? For example Spotify/Uber/AirBnb/Netflix.... What architecture they have.... What custom tools developers use for maintenance.... What technologies they use... ? I think lots of us are wondering how real projects are created and maintained...<br><br> What the big picture looks like... ? Thank you!",0.0
Yes...u should go for other field of your interest cause engineering is not good nowadays,0.0
"Every developer should watch this over a hundred times over, will supercharge your dev career",0.0
"Damn, I can&#39;t even describe how good this video is 🔥❤️",0.0
"Thanks Lord i found this vidéo, so i could heard the thruth about myself, and know i know what to do",0.0
You are so right. I know because my advisor is able to find so many good plays. My  portfolio literally went from $300k to $1.1m last year (not counting withdrawals I made) all really exciting. I guess it’s the experience and better judgement.,0.0
"The computer science field is so full of gatekeepers lol. If you want to major in computer science, just do it. Its about as hard as any engineering major. You dont have to be super passionate about coding or be a coding prodigy by 13. If you dont like math, dont work at a company involving physics or machine learning software. Instead of trying to keep the job market less competitive and stroking your ego by gatekeeping, why not just be better at your job.",0.0
Achche bachche matlab rattu hey if someone is not good book but he is good at coding or love computer love digital world so what matter .... Community mat follow karo dil kehta hey vo karo baad mey man to lag jata hey umar k sath mehnati ho jate he,0.0
Thanku mam for this Vedio <br>Agar Aap nhi bnati ye Vedio to syd Mai bhi iss bheed ka hissa hota,0.0
This voice is not ugval Upadhyay sirs voice this is new but nice,0.0
"Then you go into humanities, you should have a good understanding of math if you wanna be in a field of technology and science.",0.0
This was amazing,0.0
"I have been learning about programming and CS from 2020 on my own and it feels really good that I already knew almost all the concepts mentioned here, barring Little Endian and Big Endian.",0.0
Damn man! Awesome! Super LIKE,0.0
wow. thank you!! i love videos like these so much.,0.0
"Great job condensing a lot of topics into a very short video. However, understandably a couple mistakes managed to sneak in:<br><br><a href=""https://www.youtube.com/watch?v=-uleG_Vecis&amp;t=3m45s"">3:45</a> is incorrect. Statically typed means that the compiler knows the type before the code is executed; however that does NOT mean that you need to specify the type in your code. Most statically typed languages can figure all or most of the types out on their own. Theoretically a dynamically typed language could also require explicit typing, although I&#39;m not aware of a language like that.<br><br><a href=""https://www.youtube.com/watch?v=-uleG_Vecis&amp;t=12m47s"">12:47</a> is also wrong/misleading. REST as an architectural pattern has more to do with the way information is exchanged between a client and a server rather than URLs mapping to resources, the main point being that it doesn&#39;t require a connection to keep track of the state.",0.0
Wow compact and to the point video filled with useful info that any software developer worth his salt will <b>want to know</b> <b>and needs to know</b> . Good stuff and its exactly why I subscribed.,0.0
"I&#39;m graduated on CS, but still I don&#39;t know what the heck I&#39;m doing (Thank you Stackoverflow)",0.0
The flow of the terms and connection is amazing.,0.0
"oh man, you are amazing. This is good stuff.thank you!",0.0
"You just summarized my whole 4 years in college in just 13 mins 😮, great job 👏🏻",0.0
"Is this video supposed to go up through a computer science degree? If so, I taught myself most of this in High School and I will continue to have more fun outside of the classroom freely roaming through advances in technology. Loved the video!",0.0
"@iam j hey guys so the highest GPA in my country is 4.00 and my GPA in the first year was less than 3.00 and have to repeat 2 classes, maybe that&#39;s because I have some organization &amp; event at that time. If u were me, what u should do in next semester? Focus on academic until ur GPA is more than 3,50 or still working on organization while study? Thankyou",0.0
"I love this video, wayyy too much",0.0
"hey guys so the highest GPA in my country is 4.00 and my GPA in the first year was less than 3.00 and have to repeat 2 classes, maybe that&#39;s because I have some organization &amp; event at that time. If u were me, what u should do in next semester? Focus on academic until ur GPA is more than 3,50 or still working on organization while study? Thankyou",0.0
"It&#39;s just amazing to think that it all comes down to just 0 and 1, on or off.",0.0
Do you want to make a video about ansible? I figuered since you did one about terraform it might be a cool idea to explore that one too. Love the vids!,0.0
Nice ending,0.0
"Thanks for this video. I need more explanation on low level, data structure, algorithm, and design pattern.",0.0
Amazing,0.0
I love this channel,0.0
The ending was great,0.0
"Lol, you&#39;re funny bstrd.  Keep up the great work!",0.0
That was amazing,0.0
"The images @<a href=""https://www.youtube.com/watch?v=-uleG_Vecis&amp;t=5m00s"">5:00</a> for the concept of &quot;endianness&quot; are ambiguous. Otherwise awesome video, thanks!",0.0
100000% AWESOME. Thank you very very much for this nice &amp; easy explanation ❤️,0.0
"Going to be a bit of a pedant and point out that pilots are actually required to know quite a lot about aerodynamics. Great work, though!",0.0
LOVE  IT. I hvae zeroooo knowledge of all the topics you covered. very basic and informative. thank  you .,0.0
"I love how you just completely skipped over HTML, great video!",0.0
Thanks for the nightmares that this video will bring back from my CS classes.... NotLikeThis,0.0
I knew 97/101 topics. Nice,0.0
This is the best video I&#39;ve seen in the entire galaxy. The amount of information in such a small time is just amazing. <br><br>I would love to watch another video like this Jeff!!,0.0
Im wrapping up my second semester as a CSE major and I was pleasantly surprised to see that I&#39;ve already learned a huge chunk of these concepts. I really love this field so far and I can&#39;t wait to learn more!,0.0
I love the way you begin from the absolute first knowledge and then evolve... great video,0.0
Trust me when I say that I don’t mean it in a rude way but he looked homeless in the thumbnail. Btw great video.,0.0
Btw morocco is great :3,0.0
"I&#39;m a senior in HS and I&#39;ve taken CS for the past 2 years, &amp; I&#39;m so glad I can confidently say I know over 85% of the concepts shown here :)) Great video !",0.0
I love this video,0.0
i love it,0.0
"Amazing, 😀😀. now, i will subscribe for fireship pro",0.0
"We all wanted it.<br>1. Turing Machine
<br>2. CPU
<br>3. Transistors
<br>4. Bit
<br>5. Byte
<br>6. Ascii Character Encoding
<br>7. Binary
<br>8. Hexadecimal
<br>9. Nibble
<br>10. Machine Code
<br>11. RAM
<br>12. Memory Address
<br>13. I/O
<br>14. Kernel
<br>15. Shell
<br>16. Command Line Interface
<br>17. Secure Shell Protocol
<br>18. Mainframe
<br>19. Programming Language
<br>20. Abstraction Principle
<br>21. Interpreted
<br>22. Compiled
<br>23. Executable
<br>24. Data Types
<br>25. Variable
<br>26. Dynamically Typed
<br>27. Statically Typed
<br>28. Pointer
<br>29. Garbage Collection
<br>30. Int
<br>31. Signed
<br>32. Floating Point
<br>33. Double
<br>34. Char
<br>35. String
<br>36. Big Endian
<br>37. Little Endian
<br>38. Data Structures
<br>39. Array
<br>40. Linked List
<br>41. Stack
<br>42. Queue
<br>43. Hash (Triangle is horse)
<br>44. Tree
<br>45. Graph
<br>46. Edge
<br>47. Algorithm
<br>48. Function
<br>49. Return
<br>50. Arguments
<br>51. Operators
<br>52. Boolean
<br>53. Expression
<br>54. Statement
<br>55. Conditional Logic
<br>56. While Loop
<br>57. Iterable
<br>58. For loop
<br>59. Void
<br>60. Recursion
<br>61. Call Stack
<br>62. Stack Overflow (E)
<br>63. Base Condition
<br>64. Big-O-Notation
<br>65. Time Complexity
<br>66. Space Complexity
<br>67. Brute Force
<br>68. Divide and Conquer
<br>69. Dynamic Programming (Nice)
<br>70. Memorization
<br>71. Greedy
<br>72. Dijkstra&#39;s Shortest Path
<br>73. Backtracking
<br>74. Declarative
<br>75. Functional Languages
<br>76. Imperative
<br>77. Procedural Langauges<br>78. Multiparadigm Languages<br>79. Object-oriented<br>80. Class<br>81. Property<br>82. Method<br>83. Inheritance<br>84. Design Patterns<br>85. Instantiate<br>86. Heap<br>87. Reference<br>88. Threads<br>89. Parallelism<br>90. Concurrency<br>91. Bare Metal<br>92. Virtual Machine<br>93. Ip-address<br>94. URL<br>95. DNS<br>96. Transmission Control Protocol<br>97. Packets<br>98. Secure Sockets Layer<br>99. HTTP<br>100. Application Programming Interface<br>101. <b>PRINTERS</b> (Even I don&#39;t know how they work)",0.0
Amazing.,0.0
100 programming language concepts <br>Not Computer Science Concepts<br>It is a good job anyway..,0.0
This video basically summarized a year  of basic EE and intermediate CS at my university. Amazing video.,0.0
"Very nice, thanks",0.0
Exactly what I needed thank you!,0.0
